Rezepte;Vorspeise;Hauptspeise;Nachspeise;Vegetarisch;Japanisch;Schweizerisch;Italienisch;Griechisch;Deutsch;Thailändisch;Mexicanisch;Indisch;Karibisch;Koreanisch;Spanisch
Nudeln;;1;;1;1;;;;;;;;;;
Kuchen;;;1;1;;1;;;;;;;;;
Parmigiana;;1;;1;;;1;;;;;;;;
Lasagne;;1;;;;;1;;;;;;;;
Bruschetta;1;;;1;;;1;;;;;;;;
Panna cotta;;;1;;;;1;;;;;;;;
Panforte;;;1;1;;;1;;;;;;;;
Matcha-Kokos-Schnitten;;;1;1;1;;;;;;;;;;
Goma Ae;1;;;1;1;;;;;;;;;;
Agedashi Nasu;1;;;;1;;;;;;;;;;
Miso-Ramen-Nudelsuppe;;1;;1;1;;;;;;;;;;
Moussaka;;1;;;;;;1;;;;;;;
Tzatziki;1;;;1;;;;1;;;;;;;
Baklava;;;1;;;;;1;;;;;;;
Gurkensalat;1;;;1;;;;;1;;;;;;
Rinderrouladen mit Rotkohl und Kartoffelklšssen;;1;;;;;;;1;;;;;;
Apfelstrudel mit Vanillesauce;;;1;1;;;;;1;;;;;;
Pad Thai;;1;;;;;;;;1;;;;;
Tom Kha Gai;;1;;;;;;;;1;;;;;
Som Tam;1;;;;;;;;;1;;;;;
Tom Yum Suppe;1;;;;;;;;;1;;;;;
Mango mit klebrigem Reis;;;1;1;;;;;;1;;;;;
Banana Roti;;;1;1;;;;;;1;;;;;
Spaghetti Carbonara;;1;;;;;1;;;;;;;;
Tortilla-Flammkuchen;;1;;;;;;;;;1;;;;
Älplermagronen;;1;;;;1;;;;;;;;;
Flammkuchen;;1;;;;1;;;;;;;;;
Gefüllte Zucchini mit Hackfleisch;;1;;;;1;;;;;;;;;
Gyoza mit Pilzfüllung;1;;;;1;;;;;;;;;;
Nachos;1;;;1;;;;;;;1;;;;
Knoblauchbrot;1;;;1;;1;;;;;;;;;
Gebrannte Mandeln;;;1;1;;1;;;;;;;;;
Schokoladen-Cake;;;1;1;;1;;;;;;;;;
Gefüllte Peperoni;;1;;;;1;;;;;;;;;
Lauch-Speck-Wähe;;1;;;;1;;;;;;;;;
Butter Chicken;;1;;;;;;;;;;1;;;
Chicken Tikka Masala;;1;;;;;;;;;;1;;;
Chicken Korma;;1;;;;;;;;;;1;;;
Pakora;1;;;1;;;;;;;;1;;;
Vegetarische Samosa;1;;;1;;;;;;;;1;;;
Paneer Tikka;1;;;1;;;;;;;;1;;;
Kheer;;;1;1;;;;;;;;1;;;
Gulab Jamun;;;1;1;;;;;;;;1;;;
Rasmalai;;;1;1;;;;;;;;1;;;
Jamaican Patties;1;;;;;;;;;;;;1;;
Karibischer Mango Salat;1;;;1;;;;;;;;;1;;
Karibische Garnelen;1;;;;;;;;;;;;1;;
Karibischer Reis mit Bohnen;;1;;1;;;;;;;;;1;;
Karibische Gemüsepfanne;;1;;1;;;;;;;;;1;;
Jamaikanisches Jerk-Gemüse;;1;;1;;;;;;;;;1;;
Karibische Bananen Fritters;;;1;1;;;;;;;;;1;;
Kokosnuss-Reispudding;;;1;1;;;;;;;;;1;;
Ananas Upside-Down Cake;;;1;1;;;;;;;;;1;;
Kimchi;1;;;;;;;;;;;;;1;
Japchae (Glasnudelsalat);1;;;1;;;;;;;;;;1;
Pajeon (Frühlingszwiebel-Pfannkuchen);1;;;1;;;;;;;;;;1;
Bibimbap;;1;;;;;;;;;;;;1;
Japchae;;1;;;;;;;;;;;;1;
Kimichi Jjigae;;1;;;;;;;;;;;;1;
Hotteok;;;1;1;;;;;;;;;;1;
Yakwa;;;1;1;;;;;;;;;;1;
Patatas Pravas;1;;;1;;;;;;;;;;;1
Gazpacho;1;;;1;;;;;;;;;;;1
Tortilla Espanola;1;;;1;;;;;;;;;;;1
Pollo al Ajillo;;1;;;;;;;;;;;;;1
Pisto Manchego;;1;;1;;;;;;;;;;;1
Flan de Huevo;;;1;1;;;;;;;;;;;1
Churros;;;1;1;;;;;;;;;;;1
Santiago-Torte;;;1;1;;;;;;;;;;;1
Tequila-Mousse;;;1;;;;;;;;1;;;;
Tonkatsu;;1;;;1;;;;;;;;;;
Edamame mit Wasabi-Dip;1;;;1;1;;;;;;;;;;
Yaki Udon mit Tofu und GemŸse;;1;;1;1;;;;;;;;;;
Gyudon;;1;;;1;;;;;;;;;;
Miso-Suppe mit Wakame und Tofu;1;;;1;1;;;;;;;;;;
Tempura;;1;;1;1;;;;;;;;;;
Ichigo Sando;;;1;1;1;;;;;;;;;;
Matcha-Glace;;;1;1;1;;;;;;;;;;
Crispy Rice mit Sushi-Topping;;1;;;1;;;;;;;;;;
Japanische Omlette;1;;;1;1;;;;;;;;;;
California-Rolls;;;;;;;;;;;;;;;
Olivenöl-Orangen-Gugelhopf;;;1;1;;;;1;;;;;;;
Klassischer Griechischer Salat;1;;;1;;;;1;;;;;;;
Bifteki;;1;;;;;;1;;;;;;;
Hülsenfrüchtesalat mit Granatapfel;1;;;1;;;;1;;;;;;;
Kichererbsenbällchen mit Aprikosen;;1;;1;;;;1;;;;;;;
Gefüllte Tomaten mit Feta;;1;;1;;;;1;;;;;;;
Onigiri mit Thunfisch;;1;;;1;;;;;;;;;;
Yaki Udon mit Tofu und Gemüse;1;;;1;1;;;;;;;;;;
